timestamp,product_id,category,base_price,inventory_level,demand_last_24h,competitor_price,season,day_of_week,time_of_day,special_event,customer_segment,rating,historical_sales,final_price
2025-03-02 12:34:14.868288000,PROD_0052,Clothing,665.02,108,21,538.58,Winter,Sunday,12,0,Premium,2.8,679,783.89
2025-03-02 13:17:29.462882594,PROD_0093,Electronics,978.84,50,99,1100.32,Summer,Sunday,13,0,Premium,3.0,377,1459.29
2025-03-02 14:00:44.057477189,PROD_0015,Sports,380.55,84,97,386.12,Winter,Sunday,14,0,Premium,1.8,155,556.91
2025-03-02 14:43:58.652071783,PROD_0072,Home,27.34,173,29,24.92,Summer,Sunday,14,0,Regular,3.5,420,27.47
2025-03-02 15:27:13.246666378,PROD_0061,Clothing,251.71,126,24,207.57,Winter,Sunday,15,0,Regular,2.4,104,256.89
2025-03-02 16:10:27.841260972,PROD_0021,Electronics,832.57,20,27,720.17,Fall,Sunday,16,0,Regular,5.0,704,897.04
2025-03-02 16:53:42.435855567,PROD_0083,Books,865.96,43,64,1002.8,Spring,Sunday,16,0,Premium,2.9,329,1236.0
2025-03-02 17:36:57.030450162,PROD_0087,Sports,770.83,138,44,828.19,Fall,Sunday,17,0,Regular,2.9,438,889.54
2025-03-02 18:20:11.625044756,PROD_0075,Clothing,121.98,102,67,109.78,Winter,Sunday,18,0,Budget,3.3,131,120.4
2025-03-02 19:03:26.219639351,PROD_0075,Clothing,797.56,67,6,658.97,Winter,Sunday,19,1,Regular,4.7,866,978.4
2025-03-02 19:46:40.814233945,PROD_0088,Home,919.49,128,48,989.6,Winter,Sunday,19,0,Regular,4.2,381,1072.24
2025-03-02 20:29:55.408828540,PROD_0100,Home,604.6,91,8,622.11,Fall,Sunday,20,0,Premium,2.8,137,779.09
2025-03-02 21:13:10.003423135,PROD_0024,Books,941.47,190,35,905.51,Winter,Sunday,21,0,Regular,3.9,942,946.06
2025-03-02 21:56:24.598017729,PROD_0003,Books,828.57,23,82,783.37,Fall,Sunday,21,0,Budget,3.3,842,865.97
2025-03-02 22:39:39.192612324,PROD_0022,Electronics,670.3,124,0,594.37,Summer,Sunday,22,0,Premium,3.0,269,760.13
2025-03-02 23:22:53.787206918,PROD_0053,Electronics,581.41,140,9,620.86,Spring,Sunday,23,0,Budget,1.8,549,573.56
2025-03-03 00:06:08.381801513,PROD_0002,Books,355.09,110,35,421.94,Spring,Monday,0,0,Premium,2.9,395,471.59
